cookTime,datePublished,description,image,ingredients,name,prepTime,recipeYield,url,difficulty
11M,2010-07-12,"First, an important clarification: The Pioneer Woman Cooks is not meant to be an encyclopedia of innovative gourmet recipes. ...",http://static.thepioneerwoman.com/cooking/files/2010/07/4784959605_c5713e9e4b_b.jpg,"2 pounds Ground Beef
1/2 whole Medium Onion
1 can (7 Ounce) Mexican Tomato Sauce Or Enchilada Sauce
 Salt And Pepper, to taste
 Cumin, Oregano, Chili Powder, Garlic To Taste
1 can (28 Ounce) Refried Beans
3/4 cups Grated Cheddar Cheese
12 whole Burrito-sized Flour Tortillas
 Extra Grated Cheese, For Sprinkling
 Extra Sauce, For Drizzling
 Cilantro Leaves, Optional
 Optional Filling Ingredients: Mexican Rice, Sour Cream, Guacamole, Green Chilies, Pico De Gallo",Beef and Bean Burritos,5M,6,http://thepioneerwoman.com/cooking/2010/07/brown-hot-and-plenty-of-it-vol-i/,Easy
1H30M,2011-01-10,"I love, love, love, love Chicken Tortilla Soup. So over the weekend, I made some.     The end.     Wasn't that a beautiful st...",http://static.thepioneerwoman.com/cooking/files/2011/01/5337400468_d5892f3a03_o.jpg,"2 whole Boneless, Skinless Chicken Breasts
1 Tablespoon Olive Oil
1-1/2 teaspoon Cumin
1 teaspoon Chili Powder
1/2 teaspoon Garlic Powder
1/2 teaspoon Salt
1 Tablespoon Olive Oil
1 cup Diced Onion
1/4 cup Diced Green Bell Pepper
1/4 cup Red Bell Pepper
3 cloves Garlic, Minced
1 can (10 Oz. Can) Rotel Tomatoes And Green Chilies
32 ounces, fluid Low Sodium Chicken Stock
3 Tablespoons Tomato Paste
4 cups Hot Water
2 cans (15 Oz. Can) Black Beans, Drained
3 Tablespoons Cornmeal Or Masa
5 whole Corn Tortillas, Cut Into Uniform Strips Around 2 To 3 Inches
 _____
 FOR THE GARNISHES:
 Sour Cream
 Diced Avocado
 Diced Red Onion
 Salsa Or Pico De Gallo
 Grated Monterey Jack Cheese
 Cilantro",Chicken Tortilla Soup,10M,8,http://thepioneerwoman.com/cooking/2011/01/chicken-tortilla-soup/,Hard
30M,2011-03-31,"Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ...",http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg,"16 whole Corn Tortillas (small Size)
4 whole Boneless, Skinless Chicken Breasts, Cut Into Pieces
 Salt, Cumin, Chili Powder To Taste (or Use Taco Seasoning)
2 Tablespoons Canola Oil
2 cans (4 Ounce) Diced Green Chilies
1-1/2 cup Finely Grated Cheese (cheddar Or Cheddar/jack Mix)
 Sour Cream
 Hot Sauce (Chulula Or Other Brand)
2 cups Thinly Sliced Romaine Lettuce (or Any Lettuce)
4 whole Roma Tomatoes, Diced
 Canola Oil, For Frying Tacos",My Brother’s Chicken Tacos,10M,8,http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/,Medium
10M,2010-08-13,I'll be spending the weekend cooking some new recipes and making such a mess of my kitchen I'll want to cry and burn down t...,http://static.thepioneerwoman.com/cooking/files/2010/08/3949394720_c854047191_o1.jpg,"12 ounces, fluid Thin Noodles, Cooked And Drained
1/4 cup Soy Sauce
2 Tablespoons Sugar
4 cloves Garlic, Minced
2 Tablespoons Rice Vinegar
3 Tablespoons Pure Sesame Oil
1/2 teaspoon Hot Chili Oil
4 Tablespoons Canola Oil
4 whole Green Onions, Sliced Thin",Simple Sesame Noodles,10M,8,http://thepioneerwoman.com/cooking/2010/08/simple-sesame-noodles/,Easy
20M,2010-10-08,"This is to die for.     It's just a regular corn chowder made with fresh corn shaved off the cob, which is yummy enough as it...",http://static.thepioneerwoman.com/cooking/files/2010/10/chowder.jpg,"2 slices Bacon, Cut Into 1/2-inch Pieces (or Smaller)
2 Tablespoons Butter
1-1/2 whole Yellow Onion, Diced
5 ears Corn, Shucked (about 4 Cups)
2 whole Chipotle Peppers In Adobo Sauce, Finely Diced
1 whole 4-ounce Can Diced Green Chilies
32 ounces, fluid Low Sodium Chicken Broth
1-1/2 cup Heavy Whipping Cream
1/2 teaspoon Kosher Salt (more To Taste)
3 Tablespoons Corn Meal OR Masa
1/4 cup Water",Corn Chowder with Chilies,10M,8,http://thepioneerwoman.com/cooking/2010/10/corn-chowder-with-chilies/,Medium
45M,2010-10-14,"I have a good, basic recipe for cheese grits in my cookbook, but last night I was feeling feisty.     I was cooking steaks. B...",http://static.thepioneerwoman.com/cooking/files/2010/10/5079611293_ff628b6e0c_z.jpg,"4-1/2 cups Water
1/2 teaspoon Salt
1 cup Grits (quick Or Regular)
1/2 can (10 Ounce Can) Rotel (tomatoes And Chilies)
1 can (4 Ounce Can) Chopped Green Chilies
8 ounces, weight Monterey Jack Cheese, Grated
4 ounces, weight Cream Cheese, Cut Into Cubes
1/4 teaspoon Cayenne Pepper
1/4 teaspoon Paprika
 Black Pepper To Taste
1 whole Egg Beaten",Creamy Cheese Grits with Chilies,5M,8,http://thepioneerwoman.com/cooking/2010/10/creamy-cheese-grits-with-chilies/,Medium
20M,2010-10-20,There are few things I love more than a big green salad with sliced grilled steak on top. Whenever Marlboro Man and I land at...,http://static.thepioneerwoman.com/cooking/files/2010/10/5095710774_9a8833d919_z.jpg,"2 whole Rib-eye Or Strip Steaks, Extra Fat Trimmed
 _____
 FOR THE DRESSING/MARINADE:
3/4 cups Canola Oil
3 Tablespoons Red Wine Vinegar
1 Tablespoon Balsamic Vinegar
1 Tablespoon Worcestershire Sauce
2 Tablespoons Soy Sauce
1 teaspoon (additional) Soy Sauce
2 Tablespoons Lime Juice
2 Tablespoons Sugar
3 cloves Garlic, Peeled
1 Tablespoon Minced Fresh Ginger
1/2 teaspoon Hot Chili Oil
1 teaspoon Kosher Salt
 Lots Of Freshly Ground Black Pepper
 _____
 FOR THE ONION STRINGS:
2 whole Onions, Sliced As Thin As Possible
2 cups Buttermilk
2 cups Flour
1 Tablespoon Salt
1/2 teaspoon Cayenne Pepper
1 quart Canola Oil
 Black Pepper To Taste
 _____
 FOR THE CANDIED PECAN BITS:
1/2 cup Pecans, Chopped
1 cup Sugar
2 Tablespoons Water
 _____
 FOR THE SALAD:
 Lettuce Mix: Romaine, Arugula, Watercress, Raddiccio, Etc.
 Small Grape Tomatoes
3/4 cups Crumbled Blue Cheese",Big Steak Salad,1M,4,http://thepioneerwoman.com/cooking/2010/10/big-steak-salad/,Easy
20M,2013-01-07,I am a passionate lover of butternut squash. I've written before about how a spoonful of butternut squash puree (spiked with ...,http://static.thepioneerwoman.com/cooking/files/2013/01/squashkale.jpg,"1/2 whole Butternut Squash, Peeled, Seeded, And Diced.
2 Tablespoons Butter
1 Tablespoon Olive Oil
1/2 teaspoon Kosher Salt
 Black Pepper To Taste
1/4 teaspoon Chili Powder (more To Taste)
1 bunch Kale, Leaves Torn, Stalks Discarded
8 whole Small (fajita Sized) Flour Tortillas
 Extra Butter For Frying
2-1/2 cups Monterey Jack Cheese, Grated (more If Needed)
 Sour Cream For Serving
 Cilantro, For Serving
 Pico De Gallo, Salsa, Avocado Slices (optional) For Serving",Butternut Squash &amp; Kale Quesadillas,15M,4,http://thepioneerwoman.com/cooking/2013/01/butternut-squash-kale-quesadillas/,Medium
"",2010-01-27,"Okay. Here's the situation:     I am completely high maintenance when it comes to salsa.     Now, I'm not talking about Pico ...",http://static.thepioneerwoman.com/cooking/files/2010/07/4307514771_c089bbd7101.jpg,"1 can (28 Ounce) Whole Tomatoes With Juice
2 cans (10 Ounce) Rotel (diced Tomatoes And Green Chilies)
1/4 cup Chopped Onion
1 clove Garlic, Minced
1 whole Jalapeno, Quartered And Sliced Thin
1/4 teaspoon Sugar
1/4 teaspoon Salt
1/4 teaspoon Ground Cumin
1/2 cup Cilantro (more To Taste!)
1/2 whole Lime Juice",Restaurant Style Salsa,10M,12,http://thepioneerwoman.com/cooking/2010/01/restaurant-style-salsa/,Easy
7H,2010-03-30,"Okay. I think we've more than established that when it comes to correct methods for cooking and serving Passover food, I am n...",http://static.thepioneerwoman.com/cooking/files/2010/07/4475462524_0903f9b850.jpg,"1 whole Beef Brisket, Trimmed Of All Fat (5 To 8 Pounds)
1 bottle (24 Ounce) Ketchup Or Chili Sauce (make Sure It's Kosher)
1 package Onion Soup Mix (make Sure It's Kosher)",Passover Brisket,10M,8,http://thepioneerwoman.com/cooking/2010/03/passover-brisket-i-think/,Hard
20M,2010-04-12,"I used to be terrified of sloppy joes. It's true. When I was a little girl, I got it in my head that sloppy joes were demons,...",http://static.thepioneerwoman.com/cooking/files/2010/07/4512963320_bba26f6a97_o.jpg,"2 Tablespoons Butter
2-1/2 pounds Ground Beef
1/2 whole Large Onion, Diced
1 whole Large Green Bell Pepper, Diced
5 cloves Garlic, Minced
1-1/2 cup Ketchup
1 cup Water
2 Tablespoons Brown Sugar
2 teaspoons Chili Powder (more To Taste)
1 teaspoon Dry Mustard
1/2 teaspoon Red Pepper Flakes (more To Taste)
 Worcestershire Sauce, To Taste
2 Tablespoons Tomato Paste (optional)
 Tabasco Sauce (optional; To Taste)
 Salt To Taste
 Freshly Ground Black Pepper, To Taste
 Kaiser Rolls
 Butter",Sloppy Joes,10M,8,http://thepioneerwoman.com/cooking/2010/04/sloppy-joes/,Medium
1H,2013-01-21,"A couple of weeks ago, I cooked Butternut Squash &amp; Kale Quesadillas. The same day, because I had hacked into a whole butternu...",http://static.thepioneerwoman.com/cooking/files/2013/01/risotto.jpg,"1/2 whole Butternut Squash, Peeled, Seeded, And Diced.
3 Tablespoons Butter
1 Tablespoon Olive Oil
1/2 teaspoon Kosher Salt
 Black Pepper To Taste
1/4 teaspoon Chili Powder
1/2 whole Diced Onion
1-1/2 cup Arborio Rice
6 cups (approximately) Vegetable Or Chicken Broth (low Sodium)
 Salt And Pepper, to taste
1/8 teaspoon Turmeric
1/4 cup Heavy Cream (less If Desired)
1/2 cup Parmesan Shavings (more For Serving)
 Finely Minced Parsley, For Serving",Butternut Squash Risotto,10M,8,http://thepioneerwoman.com/cooking/2013/01/butternut-squash-risotto/,Hard
1H,2009-06-04,"Whether you love Chicken Tikka Masala or you've never tried it in your life, you're in for a treat. Ryan comes through once a...",http://static.thepioneerwoman.com/cooking/files/2009/06/chicken-tikka-masala.jpg,"3 whole (to 4) Chicken Breasts
 Kosher Salt
 Ground Coriander
 Cumin, To Taste
1/2 cup Plain Yogurt
6 Tablespoons Butter
1 whole Large Onion
4 cloves Garlic
1 piece (approximately 2 Inches) Chunk Fresh Ginger
 Garam Masala
1 can (28 Ounce) Diced Tomatoes
 Sugar
1-1/2 cup Heavy Cream
2 cups Basmati Rice
 _____
 OPTIONAL:
 Fresh Cilantro
 Chili Peppers
 Turmeric
 Frozen Peas","Chicken Tikka Masala, by Pastor Ryan",30M,6,http://thepioneerwoman.com/cooking/2009/06/chicken-tikka-masala-by-pastor-ryan/,Hard
"",2009-08-13,"I dropped by the Lodge yesterday afternoon and discovered, to both my horror and excitement, that our friend Dave from Indian...",http://static.thepioneerwoman.com/cooking/files/2009/08/ree_66701.jpg,"4 ears Sweet Corn
2 whole Very Firm Avocados, Diced
 1/2 Red Onion, Diced
 1/2 Jalapeno, Seeded And Finely Diced
 1/2 Hot Chili Pepper, Seeded And Finely Diced
1 whole Juice Of Lime
 Plenty Of Chopped Cilantro
 Salt To Taste
1 Tablespoon Vinegar
1 teaspoon Sugar (optional)",Fresh Corn and Avocado Salsa,25M,10,http://thepioneerwoman.com/cooking/2009/08/fresh-corn-avocado-salsa/,Easy
30M,2009-11-09,"I'm happy to share my method for making creamy, dreamy, delicious, nutritious, yummy, nummy white chicken enchiladas.    They...",http://static.thepioneerwoman.com/cooking/files/2010/07/4060528829_67db52b435.jpg,"2-1/2 cups Cooked, Shredded Chicken
2 cups Reserved Broth From Chicken
3 Tablespoons Canola Oil
12 whole Corn Tortillas
1 whole Large Onion, Diced
3 whole 4 Oz Cans Whole Green Chilies, Diced
1 whole Jalapeno, Seeded And Finely Diced
1 teaspoon Paprika
1/2 cup Heavy Cream
2 Tablespoons Butter
2 Tablespoons Flour
1 cup Sour Cream
2-1/2 cups Monterey Jack Cheese, Grated
 Salt And Pepper, to taste
 Picante Sauce (optional)
 Cilantro, Chopped",White Chicken Enchiladas,45M,6,http://thepioneerwoman.com/cooking/2009/11/white-chicken-enchiladas/,Hard
15M,2009-11-11,I serve this rice with my White Chicken Enchiladas and they really are the perfect complement. It's a very basic Mexican rice...,http://static.thepioneerwoman.com/cooking/files/2010/07/4021656171_abe77dc608.jpg,"2 Tablespoons Canola Oil
1/2 whole Large Onion, Chopped
2 cups Long Grain Rice
3 cloves Garlic, Minced
1 can Rotel Diced Green Chilies And Tomatoes (10 Ounce Can)
1 can Whole Tomatoes (14.5 Ounce Can)
2 cups Low Sodium Chicken Broth (more If Needed)
1 teaspoon Cumin (more To Taste)
1 teaspoon Kosher Salt
 Fresh Cilantro, Chopped",Good Ol’ Basic Mexican Rice,10M,6,http://thepioneerwoman.com/cooking/2009/11/good-ol-basic-mexican-rice/,Easy
45M,2009-11-12,This dish ain't fancy.     This dish ain't difficult to make. (Huh. Understatement of the modern era.)    This dish...ain't n...,http://static.thepioneerwoman.com/cooking/files/2010/07/4098250665_65310ab692.jpg,"8 whole Roasted, Peeled, And Seeded Green Chiles
1-1/2 cup Monterey Jack Cheese, Grated
5 whole Large Eggs
2 cups Whole Milk
 Salt And Black Pepper To Taste
1/2 teaspoon Paprika
1/4 teaspoon Cayenne Pepper",Lazy Chiles Rellenos,5M,9,http://thepioneerwoman.com/cooking/2009/11/lazy-chiles-rellenos/,Medium
2H,2010-01-04,"I love white chili. And just like regular chili, there are as many incarnations as there are grains of sand in all the beache...",http://static.thepioneerwoman.com/cooking/files/2010/07/4243109382_1a797f44d2.jpg,"1 whole Fryer Chicken, Cut Up (or 3 Cups Cooked Chicken)
1 whole Medium Onion, Diced
4 cloves Garlic, Minced
2 whole Cans Green Chilies, Chopped
1 pound Dried Great Northern Beans, Rinsed
8 cups Chicken Broth
1 whole Jalapeno, Sliced
1-1/2 Tablespoon Ground Cumin
1/2 teaspoon Paprika
1/2 teaspoon Cayenne Pepper
 Salt To Taste
 White Pepper, To Taste
1 cup Whole Milk
2 Tablespoons Masa (corn Flour) OR Cornmeal
 Grated Monterey Jack, To Taste
 Sour Cream For Garnish
 Cilantro For Garnish
 Guacamole (optional)
 Pico De Gallo (optional)
 Corn Tortillas, Warmed",White Chili,25M,8,http://thepioneerwoman.com/cooking/2010/01/simple-hearty-white-chili/,Hard
20M,2008-09-15,"Okay, people. Let's get down to business here. Let's make enchiladas!     Did you know that in addition to having an imaginar...",http://static.thepioneerwoman.com/cooking/files/2008/09/Enchiladas.jpg,"FOR THE SAUCE:
1 Tablespoon Canola Oil
1 Tablespoon All-purpose Flour
1 can (28 Ounce) Enchilada Or Red Sauce
2 cups Chicken Broth
1/2 teaspoon Salt
1/2 teaspoon Ground Black Pepper
2 Tablespoons Chopped Cilantro
 _____
 FOR THE MEAT:
1-1/2 pound Ground Beef
1 whole Medium Onion, Finely Diced
2 cans (4 Ounce) Diced Green Chilies
1/2 teaspoon Salt
 _____
 FOR THE TORTILLAS:
10 whole (to 14) Corn Tortillas
1/2 cup Canola Oil
 _____
 TO ASSEMBLE:
3 cups Grated Sharp Cheddar Cheese
1/2 cup Chopped Black Olives
1 cup Chopped Green Onions
1/2 cup Chopped Cilantro",Enchiladas,1H30M,6,http://thepioneerwoman.com/cooking/2008/09/simple-perfect-enchiladas/,Hard
"",2009-01-30,"It's the exact same Mexican Layer Dip I grew up eating in the eighties, with the exception of these modifications:    1. ...",http://static.thepioneerwoman.com/cooking/files/2010/07/3240212440_df1959a301.jpg,"1 can Refried Beans
 Tabasco Sauce, To Taste
1 can Diced Green Chilies
 Ground Cumin, to taste
3/4 cups Grated Sharp Cheddar Cheese
1 cup Sour Cream
1 cup Guacamole
3/4 cups Monterey Jack Cheese
1 can Black Olives
1 cup Pico De Gallo",Mexican Layer Dip,15M,8,http://thepioneerwoman.com/cooking/2009/01/mexican-layer-dip/,Easy
10M,2009-04-27,It's a long and lengthy process to explain why I cooked what I cooked for the Smitten Kitchen get together at the Lodge on Sa...,http://static.thepioneerwoman.com/cooking/files/2009/04/what-i-made-for-lunch-on-saturday.jpg,"1-1/2 pound Linguine
1 bunch Cilantro, Roughly Chopped
4 whole Green Onions, Thinly Sliced
 _____
 PEANUT DRESSING:
5 cloves Garlic, Peeled
1 cup Chunky Peanut Butter
3/4 cups Low Sodium Soy Sauce
4 Tablespoons (to 5 Tablespoons) Red Wine Vinegar
6 Tablespoons Brown Sugar
3 Tablespoons (to 4 Tablespoons) Red Chile Oil
1/4 cup Olive Oil
1/4 cup Sesame Oil (can Also Use 1/2 Cup Olive Oil)
1 Tablespoon (to 2 Tablespoons) Toasted Sesame Oil (sold In The Asian Aisle)",What I Made for Lunch on Saturday,20M,4,http://thepioneerwoman.com/cooking/2009/04/what-i-made-for-lunch-on-saturday/,Medium
5M,2008-01-15,"There are few things more exciting, culinarily speaking, than slaving away over a dish for hours, then finding a way to u...",http://static.thepioneerwoman.com/cooking/files/2010/07/2189916287_31398ea690.jpg,"Beef Brisket Leftovers
1 package Small Corn Tortillas
1 can (about 16 Oz.) Refried Beans
1 can (about 8 Oz.) Hot Tomato Sauce Or Chili Sauce (optional)
 Pico De Gallo
 Shredded Cheese
 Lettuce
 Sour Cream
1 whole Avocado
 Vegetable Oil",Leftover Brisket Tostadas,15M,6,http://thepioneerwoman.com/cooking/2008/01/leftover_brisket_make_tostadas/,Easy
35M,2008-08-14,"Hello PW peeps. It's Ryan, and I'm so excited to share this recipe with you because this has truly been the go-to meal of the...",http://static.thepioneerwoman.com/cooking/files/2008/08/Delicious-Mexican-Lasagna.jpg,"4 cups Unprepared Rice
6 cups (to 8 Cups) Low Sodium Chicken Broth/stock
4 whole (to 8) Tomatoes (up To You)
2 whole (to 3) Onions (up To You)
8 cloves (to 14 Cloves) Of Garlic (up To You)
 Butter
 Taco Seasoning (or Chili Powder, Paprika, And Cumin) To Taste
1 can (to 2 Cans) Black Or Pinto Beans (up To You)
3 pounds Lean Ground Beef
2 jars (16 Ounce) Salsa Verde
 Flour Tortillas
3 packages (16 Ounces) Mexican Cheese Blend
1 jar (16 Ounce) Enchilada Sauce
3 cans Corn, Drained
 Sour Cream, to taste
 Cilantro, to taste",Cooking With Pastor Ryan: Delicious Mexican Lasagna,45M,8,http://thepioneerwoman.com/cooking/2008/08/cooking-with-pastor-ryan-delicious-mexican-lasagna/,Hard
4H,2008-08-06,"   Oh my goodness, am I ever in love with pork shoulder. Wait a minute...did I just say that? That I'm in love with pork...",http://static.thepioneerwoman.com/cooking/files/2008/08/Spicy-Shredded-Pork.jpg,"4 pounds (up To 7 Pounds) Pork Shoulder
1 teaspoon Dried Oregano
1 teaspoon Ground Cumin
1 teaspoon Chili Powder
1 Tablespoon (to 2 Tablespoons) Salt
 Pepper To Taste
3 cloves (to 4 Cloves) Garlic
1 Tablespoon (to 2 Tablespoons) Olive Oil
2 Tablespoons (to 3 Tablespoons) White Wine Vinegar
1/4 cup Brown Sugar
1 whole Onion
 Lime Wedges",Spicy Shredded Pork,20M,8,http://thepioneerwoman.com/cooking/2008/08/spicy-shredded-pork/,Hard
15M,2013-01-31,"I made these tacos before my family and I left for our trip to Colorado, and we devoured every bite. They're pretty much the ...",http://static.thepioneerwoman.com/cooking/files/2013/01/tacos.jpg,"16 whole Taco Shells
2 pounds Ground Beef
3 Tablespoons Taco Seasoning
1 can (4 Ounce) Tomato Paste
 Salt To Taste
1 can (14.5 Ounce) Beans (kidney, Pinto, Chili), Undrained
1/2 cup Hot Water
1 head Green Leaf Lettuce, Sliced Very Thin
1 cup Grape Tomatoes, Halved (or Diced Regular Tomatoes)
1 cup Grated Cheese (cheddar, Jack, Or Cheddar/jack)
 FOR THE DRESSING:
1/4 cup Mayonnaise
1/4 cup Sour Cream
1/4 cup Salsa
1 Tablespoon Ranch Dressing Mix (optional)
 Extra Hot Sauce (optional)
 Crushed Tortilla Chips (optional)",Salad Tacos,10M,8,http://thepioneerwoman.com/cooking/2013/01/salad-tacos/,Easy
